epoch,accuracy,loss,macro_f1,val_accuracy,val_loss,val_macro_f1
1,0.47244617342948914,1.5972423553466797,0.35344353318214417,0.5823211669921875,0.9516465663909912,0.45634499192237854
2,0.5559582710266113,0.9992378354072571,0.4360657334327698,0.6157220005989075,0.8527075052261353,0.5171284675598145
3,0.5744877457618713,0.9474101066589355,0.4753168523311615,0.6285424828529358,0.8429603576660156,0.5408552885055542
4,0.5897995233535767,0.9244840145111084,0.5041358470916748,0.6211200952529907,0.8529492020606995,0.5234795808792114
5,0.6038538217544556,0.8954014778137207,0.5312865972518921,0.6572199463844299,0.8121169805526733,0.5925794839859009
6,0.6131740808486938,0.8787508606910706,0.5442272424697876,0.6339406371116638,0.8555335998535156,0.5635127425193787
7,0.6201642155647278,0.8699182271957397,0.5531686544418335,0.6457489728927612,0.8364568948745728,0.5591022968292236
8,0.6241955757141113,0.8593257069587708,0.5639010071754456,0.6508097052574158,0.828242301940918,0.5888668894767761
9,0.6298173069953918,0.8521944880485535,0.5724987387657166,0.6659919023513794,0.8068462014198303,0.6091327667236328
10,0.6354020237922668,0.8486388325691223,0.578239917755127,0.6636302471160889,0.7885159850120544,0.5966336131095886
11,0.6386566758155823,0.8337140083312988,0.5848647356033325,0.6676788330078125,0.7933647632598877,0.6318179368972778
12,0.6376581192016602,0.8488851189613342,0.5797673463821411,0.6713899970054626,0.8005242347717285,0.6076071262359619
13,0.6393594145774841,0.832878589630127,0.5858698487281799,0.6670040488243103,0.7794933319091797,0.6040909290313721
14,0.6469413638114929,0.8277731537818909,0.5947556495666504,0.6602563858032227,0.8185108304023743,0.5873371362686157
15,0.64764404296875,0.8264015316963196,0.5947227478027344,0.6710526347160339,0.7776191830635071,0.6314029097557068
16,0.6514905095100403,0.8160501718521118,0.6063106060028076,0.6670040488243103,0.7844635248184204,0.6139695644378662
17,0.6560396552085876,0.8075963258743286,0.6132459044456482,0.6670040488243103,0.7740403413772583,0.6283965110778809
18,0.6603298783302307,0.805918276309967,0.615997314453125,0.6670040488243103,0.7951420545578003,0.6151307821273804
