accuracy,loss,macro_f1,val_accuracy,val_loss,val_macro_f1
0.7261368036270142,1.294866681098938,0.17953842878341675,0.8110345005989075,0.6400524973869324,0.2796818017959595
0.794861376285553,0.7085654735565186,0.226641446352005,0.8255172371864319,0.5569809675216675,0.289624959230423
0.8134195804595947,0.6155552268028259,0.24861635267734528,0.8296551704406738,0.5835498571395874,0.30792176723480225
0.8199999928474426,0.5976659059524536,0.27159392833709717,0.8182758688926697,0.5286691784858704,0.2754412591457367
0.8242514133453369,0.5599230527877808,0.26621952652931213,0.8365517258644104,0.5073086619377136,0.3200315833091736
0.8282809853553772,0.5713749527931213,0.27172383666038513,0.8406896591186523,0.511212170124054,0.32853978872299194
0.8362661600112915,0.5156040787696838,0.28537261486053467,0.8413792848587036,0.504844605922699,0.32985633611679077
0.8364880084991455,0.5264504551887512,0.28486257791519165,0.8424137830734253,0.4845394492149353,0.3244960308074951
0.8405914902687073,0.49358537793159485,0.29178088903427124,0.8406896591186523,0.4790326952934265,0.3086834251880646
0.8456562161445618,0.47819074988365173,0.2976539731025696,0.8420689702033997,0.46367502212524414,0.31246867775917053
0.8440295457839966,0.4865055978298187,0.29612576961517334,0.8562068939208984,0.45773378014564514,0.35996013879776
0.8478373289108276,0.4714796543121338,0.3007863759994507,0.8489655256271362,0.449865460395813,0.339938759803772
0.8476524949073792,0.4623316824436188,0.301016241312027,0.8431034684181213,0.45769622921943665,0.31700649857521057
0.8522735834121704,0.4526319205760956,0.3068590462207794,0.8496551513671875,0.4514302909374237,0.3327789306640625
0.8535674810409546,0.45723700523376465,0.3077361285686493,0.8520689606666565,0.46123018860816956,0.34666427969932556
0.8526432514190674,0.448051393032074,0.30741846561431885,0.8565517067909241,0.4371640086174011,0.34409499168395996
0.854602575302124,0.4387422800064087,0.3101906478404999,0.8551723957061768,0.4317883849143982,0.34527474641799927
0.8547874093055725,0.43501588702201843,0.30921438336372375,0.8613793253898621,0.43690401315689087,0.35845935344696045
