epoch,accuracy,loss,macro_f1,val_accuracy,val_loss,val_macro_f1
1,0.5454175472259521,1.002188801765442,0.37608030438423157,0.5718623399734497,0.9718815088272095,0.31876081228256226
2,0.6116576790809631,0.889022707939148,0.5139912366867065,0.5914304852485657,0.8838321566581726,0.5191254615783691
3,0.6394703984260559,0.8397165536880493,0.5916723012924194,0.6184210777282715,0.8792973160743713,0.5460443496704102
4,0.6546711921691895,0.8099345564842224,0.6204466819763184,0.6298920512199402,0.878643274307251,0.6226719617843628
5,0.6656557321548462,0.7877970933914185,0.640223503112793,0.662618100643158,0.7983134984970093,0.5504266023635864
6,0.6686885356903076,0.7741987109184265,0.6454905271530151,0.5549932718276978,1.003946304321289,0.4222068190574646
7,0.6787114143371582,0.7570499181747437,0.6618147492408752,0.6575573682785034,0.812937319278717,0.5437451004981995
8,0.686108410358429,0.7492227554321289,0.6661917567253113,0.6794871687889099,0.7566370964050293,0.6435829401016235
9,0.6891041994094849,0.7388684749603271,0.6725677251815796,0.579959511756897,1.0739222764968872,0.44912102818489075
10,0.6958354711532593,0.7291130423545837,0.6783144474029541,0.5641025900840759,1.2158238887786865,0.4054162800312042
11,0.699053168296814,0.7200040817260742,0.6843671798706055,0.6565452218055725,0.8267849683761597,0.5936470031738281
12,0.7016791105270386,0.7112448811531067,0.6884767413139343,0.6241565346717834,0.8320770263671875,0.565340518951416
13,0.7043790221214294,0.7058897018432617,0.6903650760650635,0.6295546293258667,0.8229514956474304,0.5842307209968567
14,0.7051557302474976,0.6984860301017761,0.6902856826782227,0.6666666865348816,0.7681018114089966,0.5784879922866821
15,0.7108883857727051,0.6934334635734558,0.6952548623085022,0.47064778208732605,1.2192896604537964,0.3565501868724823
