accuracy,loss,macro_f1,val_accuracy,val_loss,val_macro_f1,learning_rate
0.5627148747444153,1.7041159868240356,0.13350161910057068,0.5534482598304749,1.669435739517212,0.1754787415266037,0.0010000000474974513
0.710731565952301,1.003235936164856,0.23464328050613403,0.7124137878417969,0.9867303967475891,0.29250890016555786,0.0010000000474974513
0.7509149312973022,0.8294557929039001,0.2910425066947937,0.7617241144180298,0.7967788577079773,0.36326369643211365,0.0010000000474974513
0.7761635184288025,0.7271799445152283,0.3552742004394531,0.7244827747344971,0.9143403172492981,0.30911535024642944,0.0010000000474974513
0.7941665649414062,0.6592245697975159,0.3970388174057007,0.7741379141807556,0.8027239441871643,0.3992762565612793,0.0010000000474974513
0.8058112263679504,0.6098931431770325,0.42976704239845276,0.7686206698417664,0.8518807888031006,0.38286760449409485,0.0010000000474974513
0.8190454840660095,0.5658164620399475,0.47007620334625244,0.7931034564971924,0.6985127925872803,0.44735270738601685,0.0010000000474974513
0.8237403631210327,0.5419226884841919,0.483033150434494,0.7831034660339355,0.7261626124382019,0.4565930664539337,0.0010000000474974513
0.8295811414718628,0.5119203925132751,0.513198971748352,0.8017241358757019,0.6916326880455017,0.45033347606658936,0.0010000000474974513
0.8386381268501282,0.4854044020175934,0.5275625586509705,0.8048275709152222,0.7174870371818542,0.462389200925827,0.0010000000474974513
0.848988950252533,0.4538803696632385,0.5591740012168884,0.819655179977417,0.6667358875274658,0.48248276114463806,0.0010000000474974513
0.8517245054244995,0.43719297647476196,0.5837147235870361,0.8034482598304749,0.6173046827316284,0.5132399201393127,0.0010000000474974513
0.8586743474006653,0.4142036437988281,0.5658621788024902,0.8244827389717102,0.6106794476509094,0.5109424591064453,0.0010000000474974513
0.8643673062324524,0.39749088883399963,0.6240444779396057,0.8231034278869629,0.6056479811668396,0.48988452553749084,0.0010000000474974513
0.8915751576423645,0.31756895780563354,0.6891329288482666,0.8479310274124146,0.5501789450645447,0.5857373476028442,0.0005000000237487257
0.8974529504776001,0.2980802357196808,0.6983826756477356,0.838620662689209,0.5835785269737244,0.5408459901809692,0.0005000000237487257
0.9008539319038391,0.2815774977207184,0.7455775141716003,0.8548275828361511,0.5609006881713867,0.5893349051475525,0.0005000000237487257
0.90196293592453,0.27533644437789917,0.7765043377876282,0.867241382598877,0.5130547285079956,0.6067153811454773,0.0005000000237487257
0.9103915095329285,0.25803321599960327,0.7573143839836121,0.8562068939208984,0.5583938360214233,0.6045313477516174,0.0005000000237487257
0.913127064704895,0.2469434142112732,0.7806203365325928,0.8531034588813782,0.547109842300415,0.6264670491218567,0.0005000000237487257
0.9154929518699646,0.23668812215328217,0.7872119545936584,0.8589655160903931,0.533316969871521,0.6443315744400024,0.0005000000237487257
0.9196702241897583,0.23075418174266815,0.8283812999725342,0.8558620810508728,0.5359340906143188,0.5904995799064636,0.0005000000237487257
0.9222210049629211,0.2247423678636551,0.8036268353462219,0.8537930846214294,0.589709460735321,0.6238353848457336,0.0005000000237487257
0.9405567049980164,0.17446032166481018,0.8601932525634766,0.8565517067909241,0.5593891739845276,0.6117657423019409,0.0002500000118743628
0.9446231126785278,0.16095265746116638,0.8620193004608154,0.8586207032203674,0.5417338609695435,0.6306849718093872,0.0002500000118743628
0.9519426226615906,0.14311060309410095,0.8846794366836548,0.8693103194236755,0.525675892829895,0.6465148329734802,0.0001250000059371814
0.9554545283317566,0.1358117312192917,0.8960610628128052,0.867241382598877,0.5093305110931396,0.6288954615592957,0.0001250000059371814
0.956748366355896,0.13103903830051422,0.8945218920707703,0.8710345029830933,0.5297551155090332,0.6664454936981201,0.0001250000059371814
0.957118034362793,0.12709520757198334,0.8895862698554993,0.8689655065536499,0.5291610956192017,0.6446681618690491,0.0001250000059371814
0.9615171551704407,0.12108248472213745,0.897993803024292,0.8703448176383972,0.5324693322181702,0.6271620392799377,0.0001250000059371814
