,precision,recall,f1-score,support
Boys,0.7380952380952381,0.8266666666666667,0.779874213836478,75.0
Girls,0.673469387755102,0.6470588235294118,0.66,51.0
Men,0.9147794994040525,0.9522332506203474,0.9331306990881459,1612.0
Unisex,0.7830188679245284,0.515527950310559,0.6217228464419475,161.0
Women,0.9175991861648016,0.9010989010989011,0.9092741935483871,1001.0
accuracy,0.9017241379310345,0.9017241379310345,0.9017241379310345,0.9017241379310345
macro avg,0.8053924358687446,0.7685171184451771,0.7808003905829917,2900.0
weighted avg,0.8996246406064832,0.9017241379310345,0.8988407237885918,2900.0
