,precision,recall,f1-score,support
Fall,0.7481296758104738,0.3768844221105528,0.5012531328320802,796.0
Spring,0.9824561403508771,0.48695652173913045,0.6511627906976745,115.0
Summer,0.6562978072412035,0.8545816733067729,0.7424286126334007,1506.0
Winter,0.6807339449541284,0.6782449725776966,0.6794871794871795,547.0
accuracy,0.6794871794871795,0.6794871794871795,0.6794871794871795,0.6794871794871795
macro avg,0.7669043920891707,0.5991668974335381,0.6435829289125836,2964.0
weighted avg,0.6981240363295035,0.6794871794871795,0.6625027639912137,2964.0
