epoch,accuracy,loss,macro_f1,val_accuracy,val_loss,val_macro_f1
1,0.7285497784614563,1.6474933624267578,0.3541125953197479,0.7582758665084839,0.8825363516807556,0.329229325056076
2,0.7693246006965637,0.8160287141799927,0.3646283745765686,0.7875862121582031,0.5665894746780396,0.3819890022277832
3,0.7774204015731812,0.8102172017097473,0.3924505114555359,0.7644827365875244,0.9117327332496644,0.3596919178962707
4,0.7875494360923767,0.8796759247779846,0.4327193200588226,0.7855172157287598,0.5890825986862183,0.4458854794502258
5,0.8052197694778442,0.5494228005409241,0.5223218202590942,0.8199999928474426,0.5633528232574463,0.6404562592506409
6,0.8014121651649475,0.7055736184120178,0.4727012515068054,0.8086206912994385,0.9174447655677797,0.4612690508365631
7,0.8060330748558044,0.5924684405326843,0.5024674534797668,0.8037931323051453,0.5392658114433289,0.4833508431911468
8,0.8072529435157776,0.7185159921646118,0.5034896731376648,0.8182758688926697,0.6446905136108398,0.5476727485656738
9,0.8183801174163818,0.5423399209976196,0.5639734268188477,0.8206896781921387,0.623818039894104,0.6322593688964844
10,0.8150530457496643,0.5891455411911011,0.568295419216156,0.8199999928474426,0.5564649701118469,0.5501776933670044
11,0.8183061480522156,0.5568763017654419,0.5670500993728638,0.8151724338531494,0.5705585479736328,0.5813021659851074
12,0.815570592880249,0.8170352578163147,0.5676208734512329,0.7862069010734558,0.9254787564277648,0.430629551410675
