accuracy,loss,macro_f1,val_accuracy,val_loss,val_macro_f1,learning_rate
0.8058779835700989,0.5991649031639099,0.23031561076641083,0.8165517449378967,0.5304282307624817,0.25077417492866516,0.0010000000474974513
0.8378927707672119,0.4696232080459595,0.2871911823749542,0.8334482908248901,0.4863693416118622,0.31031009554862976,0.0010000000474974513
0.8525323271751404,0.4248444437980652,0.3116723299026489,0.8248276114463806,0.6029649972915649,0.27566301822662354,0.0010000000474974513
0.8613308668136597,0.40273553133010864,0.32154589891433716,0.8506896495819092,0.4332007169723511,0.3719373941421509,0.0010000000474974513
0.8674306869506836,0.3822212815284729,0.3297107517719269,0.8286206722259521,0.48410648107528687,0.3578537106513977,0.0010000000474974513
0.8753049969673157,0.36190128326416016,0.3386181592941284,0.8531034588813782,0.455255925655365,0.332557737827301,0.0010000000474974513
0.8899075984954834,0.3181735575199127,0.35430657863616943,0.8665516972541809,0.4106512665748596,0.37318748235702515,0.0005000000237487257
0.8931238651275635,0.3064243495464325,0.3576989769935608,0.8775861859321594,0.37673279643058777,0.3837800621986389,0.0005000000237487257
0.8971534371376038,0.2958153784275055,0.36132633686065674,0.8620689511299133,0.46708202362060547,0.3454465866088867,0.0005000000237487257
0.901663601398468,0.2843286693096161,0.36588647961616516,0.869655191898346,0.403484046459198,0.3838152289390564,0.0005000000237487257
0.9123844504356384,0.2529032528400421,0.3758673667907715,0.8979310393333435,0.3300240933895111,0.4029041826725006,0.0002500000118743628
0.9144546985626221,0.24198317527770996,0.3903549909591675,0.8924137949943542,0.3230111002922058,0.4112823009490967,0.0002500000118743628
0.9188909530639648,0.2331300526857376,0.3822311758995056,0.8982758522033691,0.30876484513282776,0.4142809510231018,0.0002500000118743628
0.9216635823249817,0.22527721524238586,0.3962137997150421,0.8989655375480652,0.34044381976127625,0.4052930176258087,0.0002500000118743628
0.9236598610877991,0.21311481297016144,0.3986751139163971,0.8968965411186218,0.3212769627571106,0.4037044048309326,0.0002500000118743628
0.9313862919807434,0.19191277027130127,0.405500203371048,0.9027585983276367,0.30069881677627563,0.4109534025192261,0.0001250000059371814
0.9347874522209167,0.1839514672756195,0.41946080327033997,0.8986206650733948,0.3055918216705322,0.4119259715080261,0.0001250000059371814
0.9394824504852295,0.17177411913871765,0.41223469376564026,0.9051724076271057,0.3109683096408844,0.41290271282196045,6.25000029685907e-05
0.9404805898666382,0.16513071954250336,0.42406249046325684,0.9017241597175598,0.293746680021286,0.41492581367492676,6.25000029685907e-05
0.9436599016189575,0.1591915637254715,0.41547054052352905,0.9044827818870544,0.29470932483673096,0.4156859517097473,6.25000029685907e-05
0.943475067615509,0.157190203666687,0.41550886631011963,0.9034482836723328,0.30211806297302246,0.4141978323459625,6.25000029685907e-05
0.9455453157424927,0.15361037850379944,0.4332914352416992,0.9006896615028381,0.2998781204223633,0.4164591431617737,6.25000029685907e-05
0.9456561803817749,0.14989542961120605,0.4283696413040161,0.9048275947570801,0.325053870677948,0.41447320580482483,6.25000029685907e-05
0.9491682052612305,0.14803370833396912,0.4311998784542084,0.8975862264633179,0.2947148084640503,0.41688066720962524,6.25000029685907e-05
0.9505360722541809,0.14205080270767212,0.43190354108810425,0.9048275947570801,0.29292818903923035,0.4186544716358185,6.25000029685907e-05
0.9519777894020081,0.13913442194461823,0.431852787733078,0.9048275947570801,0.3294999301433563,0.4126814007759094,6.25000029685907e-05
0.95316082239151,0.1340341418981552,0.4444473683834076,0.9048275947570801,0.3000998795032501,0.418306827545166,6.25000029685907e-05
0.9549353122711182,0.12906992435455322,0.4457758367061615,0.9024137854576111,0.3054392635822296,0.41756129264831543,3.125000148429535e-05
0.9556007385253906,0.12565015256404877,0.44169899821281433,0.906551718711853,0.3144678771495819,0.41700422763824463,3.125000148429535e-05
0.9581515789031982,0.12144622206687927,0.4653857946395874,0.9048275947570801,0.3068115711212158,0.41752904653549194,1.5625000742147677e-05
