epoch,accuracy,loss,macro_f1,val_accuracy,val_loss,val_macro_f1
1,0.7356377243995667,0.9711177945137024,0.18680351972579956,0.8151724338531494,0.6043946743011475,0.30248716473579407
2,0.7940850257873535,0.6947122812271118,0.23834019899368286,0.8310344815254211,0.5530468225479126,0.30896103382110596
3,0.8117190599441528,0.6285198926925659,0.26126882433891296,0.839310348033905,0.5728535652160645,0.3407318592071533
4,0.8263586163520813,0.5731160044670105,0.2773430347442627,0.8396551609039307,0.5357927083969116,0.33416426181793213
5,0.8307948112487793,0.5665246844291687,0.28462404012680054,0.8462069034576416,0.5058742761611938,0.3492256999015808
6,0.835711658000946,0.5350978374481201,0.29011285305023193,0.8455172181129456,0.4857809245586395,0.3476256728172302
7,0.8389648795127869,0.5148833990097046,0.29421859979629517,0.8486207127571106,0.5156557559967041,0.3406568169593811
8,0.8419223427772522,0.5148015022277832,0.2980095148086548,0.8472414016723633,0.4992474615573883,0.3485475480556488
9,0.8459149599075317,0.5025126934051514,0.3031248450279236,0.8544827699661255,0.4518125057220459,0.3562183380126953
10,0.8442144393920898,0.4920109212398529,0.3058069944381714,0.862413763999939,0.48641419410705566,0.356597900390625
11,0.8497966527938843,0.49742671847343445,0.30669453740119934,0.8537930846214294,0.48512887954711914,0.36234408617019653
12,0.8502402901649475,0.46408164501190186,0.30843865871429443,0.8541379570960999,0.43756651878356934,0.3594743013381958
13,0.8538262248039246,0.4522443115711212,0.3116345703601837,0.8613793253898621,0.44394540786743164,0.3597347140312195
14,0.8510905504226685,0.465607613325119,0.30986279249191284,0.8613793253898621,0.4386346638202667,0.3590549826622009
15,0.858890950679779,0.4401574730873108,0.32912200689315796,0.8600000143051147,0.433630108833313,0.3556059002876282
