,family,validation_accuracy,validation_macro_f1,complexity_parameters,epochs_run,selected
cnn_continue,cnn,0.7577597840755735,0.7394009003766844,653764,8,True
shallow_mlp_128,shallow_mlp,0.6997300944669366,0.6578547363614108,4719236,20,False
deeper_mlp_two_layers,deeper_mlp,0.6869095816464238,0.6458106575598119,9470852,20,False
