epoch,accuracy,loss,macro_f1,val_accuracy,val_loss,val_macro_f1,learning_rate
1,0.8058779835700989,0.5991649031639099,0.2303156107664108,0.8165517449378967,0.5304282307624817,0.2507741749286651,0.0010000000474974
2,0.8378927707672119,0.4696232080459595,0.2871911823749542,0.8334482908248901,0.4863693416118622,0.3103100955486297,0.0010000000474974
3,0.8525323271751404,0.4248444437980652,0.3116723299026489,0.8248276114463806,0.6029649972915649,0.2756630182266235,0.0010000000474974
4,0.8613308668136597,0.4027355313301086,0.3215458989143371,0.8506896495819092,0.4332007169723511,0.3719373941421509,0.0010000000474974
5,0.8674306869506836,0.3822212815284729,0.3297107517719269,0.8286206722259521,0.4841064810752868,0.3578537106513977,0.0010000000474974
6,0.8753049969673157,0.3619012832641601,0.3386181592941284,0.8531034588813782,0.455255925655365,0.332557737827301,0.0010000000474974
7,0.8899075984954834,0.3181735575199127,0.3543065786361694,0.8665516972541809,0.4106512665748596,0.3731874823570251,0.0005000000237487
8,0.8931238651275635,0.3064243495464325,0.3576989769935608,0.8775861859321594,0.3767327964305877,0.3837800621986389,0.0005000000237487
9,0.8971534371376038,0.2958153784275055,0.3613263368606567,0.8620689511299133,0.4670820236206054,0.3454465866088867,0.0005000000237487
10,0.901663601398468,0.2843286693096161,0.3658864796161651,0.869655191898346,0.403484046459198,0.3838152289390564,0.0005000000237487
11,0.9123844504356384,0.2529032528400421,0.3758673667907715,0.8979310393333435,0.3300240933895111,0.4029041826725006,0.0002500000118743
12,0.914454698562622,0.2419831752777099,0.3903549909591675,0.8924137949943542,0.3230111002922058,0.4112823009490967,0.0002500000118743
13,0.9188909530639648,0.2331300526857376,0.3822311758995056,0.8982758522033691,0.3087648451328277,0.4142809510231018,0.0002500000118743
14,0.9216635823249816,0.2252772152423858,0.3962137997150421,0.8989655375480652,0.3404438197612762,0.4052930176258087,0.0002500000118743
15,0.9236598610877992,0.2131148129701614,0.3986751139163971,0.8968965411186218,0.3212769627571106,0.4037044048309326,0.0002500000118743
16,0.9313862919807434,0.1919127702713012,0.405500203371048,0.9027585983276368,0.3006988167762756,0.4109534025192261,0.0001250000059371
17,0.9347874522209167,0.1839514672756195,0.4194608032703399,0.8986206650733948,0.3055918216705322,0.4119259715080261,0.0001250000059371
18,0.9394824504852296,0.1717741191387176,0.4122346937656402,0.9051724076271056,0.3109683096408844,0.4129027128219604,6.25000029685907e-05
19,0.9404805898666382,0.1651307195425033,0.4240624904632568,0.9017241597175598,0.293746680021286,0.4149258136749267,6.25000029685907e-05
20,0.9436599016189576,0.1591915637254715,0.415470540523529,0.9044827818870544,0.2947093248367309,0.4156859517097473,6.25000029685907e-05
21,0.943475067615509,0.157190203666687,0.4155088663101196,0.9034482836723328,0.3021180629730224,0.4141978323459625,6.25000029685907e-05
22,0.9455453157424928,0.1536103785037994,0.4332914352416992,0.9006896615028381,0.2998781204223633,0.4164591431617737,6.25000029685907e-05
23,0.9456561803817748,0.149895429611206,0.4283696413040161,0.90482759475708,0.325053870677948,0.4144732058048248,6.25000029685907e-05
24,0.9491682052612304,0.1480337083339691,0.4311998784542084,0.8975862264633179,0.2947148084640503,0.4168806672096252,6.25000029685907e-05
25,0.9505360722541808,0.1420508027076721,0.4319035410881042,0.90482759475708,0.2929281890392303,0.4186544716358185,6.25000029685907e-05
26,0.951977789402008,0.1391344219446182,0.431852787733078,0.90482759475708,0.3294999301433563,0.4126814007759094,6.25000029685907e-05
27,0.95316082239151,0.1340341418981552,0.4444473683834076,0.90482759475708,0.3000998795032501,0.418306827545166,6.25000029685907e-05
28,0.9549353122711182,0.1290699243545532,0.4457758367061615,0.9024137854576112,0.3054392635822296,0.4175612926483154,3.125000148429535e-05
29,0.9556007385253906,0.1256501525640487,0.4416989982128143,0.906551718711853,0.3144678771495819,0.4170042276382446,3.125000148429535e-05
30,0.9581515789031982,0.1214462220668792,0.4653857946395874,0.90482759475708,0.3068115711212158,0.4175290465354919,1.5625000742147677e-05
