,precision,recall,f1-score,support
Fall,0.7114228456913828,0.44597989949748745,0.5482625482625483,796.0
Spring,0.8571428571428571,0.46956521739130436,0.6067415730337079,115.0
Summer,0.671664943123061,0.8625498007968128,0.7552325581395349,1506.0
Winter,0.782051282051282,0.6691042047531993,0.7211822660098522,547.0
accuracy,0.6997300944669366,0.6997300944669366,0.6997300944669366,0.6997300944669366
macro avg,0.7555704820021457,0.611799780609701,0.6578547363614108,2964.0
weighted avg,0.7099100773843288,0.6997300944669366,0.6876043189545863,2964.0
