epoch,loss_mode,lr,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1
1,ordinary,0.001,0.583411683776242,0.8069870609981515,0.227312978285588,0.5122333329504933,0.8168965517241379,0.2823926041926715
2,ordinary,0.001,0.4587248263319406,0.8424399260628466,0.2951971135045696,0.497135478073153,0.8324137931034483,0.3589827760901461
3,ordinary,0.001,0.4234141605805998,0.8541589648798521,0.3136214617181594,0.4218313940845686,0.8572413793103448,0.3674761172146102
4,ordinary,0.001,0.3957288184778527,0.8616635859519408,0.3232076644571837,0.408710602563003,0.863103448275862,0.3780525575207547
5,ordinary,0.001,0.3709878390002823,0.8704621072088724,0.333624984226954,0.4154602957593983,0.8606896551724138,0.3729032236625016
6,ordinary,0.001,0.3602037940569594,0.8767097966728281,0.3404702801319055,0.4436275023067819,0.8572413793103448,0.3572759462204745
7,ordinary,0.001,0.3454482015444038,0.8818853974121996,0.3453879059062228,0.3858135204325462,0.8693103448275862,0.3812845654017087
8,ordinary,0.001,0.3274919741012693,0.8856931608133087,0.3500923168489666,0.3864864273215162,0.8682758620689656,0.3721596242075337
9,ordinary,0.001,0.3196133925117098,0.888354898336414,0.3520118474949094,0.346411267919787,0.8855172413793103,0.4035369277206952
10,ordinary,0.001,0.3042567592220253,0.8941589648798521,0.3587038227496206,0.374327353495976,0.8748275862068966,0.4014212948951299
11,ordinary,0.001,0.2977074187277866,0.8987060998151571,0.3626021727683289,0.3837408760446926,0.8758620689655172,0.3942834264172669
12,ordinary,0.001,0.2864335750475829,0.8971534195933456,0.3617080143939602,0.3781187447366015,0.886896551724138,0.3901918357284751
13,ordinary,0.0005,0.2461479366740105,0.9141589648798522,0.3779926911080371,0.3348493286710361,0.8955172413793103,0.4001773808669445
14,ordinary,0.0005,0.2306908241217325,0.9184103512014788,0.3813931852046941,0.3484257517703648,0.8889655172413793,0.4027137687161623
15,ordinary,0.0005,0.2187816133803228,0.922181146025878,0.408174057338506,0.3316090705014508,0.903103448275862,0.4148415804341584
16,ordinary,0.0005,0.2104424017965242,0.9243253234750464,0.3994592115987796,0.3087952794237383,0.8975862068965518,0.4106737722949153
17,ordinary,0.0005,0.2011478539293222,0.9275785582255084,0.4128610274669346,0.3323151090587007,0.9006896551724138,0.4140757999585086
18,ordinary,0.0005,0.1872718616212802,0.933271719038817,0.4177593686822018,0.3202941654982238,0.8996551724137931,0.4167452746422721
19,ordinary,0.0005,0.1769868202592881,0.9370425138632162,0.5406382322374206,0.3308738108030681,0.896896551724138,0.4058698591453488
20,ordinary,0.0005,0.1707200098236034,0.9386321626617375,0.4544087661486819,0.3260305991306387,0.9017241379310345,0.4152187709411997
21,ordinary,0.0005,0.163086648320094,0.9408133086876156,0.4717166955508514,0.3481903376873454,0.8993103448275862,0.4113595514312891
22,ordinary,0.00025,0.1297242192150043,0.9543438077634012,0.4720565455040836,0.3276127271200048,0.8962068965517241,0.4504603878822726
23,ordinary,0.00025,0.1190367601117783,0.9577079482439926,0.5204760305716175,0.3447938516402039,0.8893103448275862,0.4510234321787083
24,ordinary,0.00025,0.1103551066935392,0.9613678373382624,0.5178519525398425,0.3425880971448174,0.896551724137931,0.4544139330105169
25,ordinary,0.00025,0.1049894971878383,0.961996303142329,0.5101125096721701,0.3761111950424725,0.9041379310344828,0.4507642522335109
26,ordinary,0.00025,0.0978828557824471,0.9643992606284658,0.5478137276172526,0.3847911681851436,0.9048275862068964,0.4496979022547733
27,ordinary,0.00025,0.0905072663141872,0.9686136783733826,0.6599034546239981,0.3807291622819572,0.9065517241379312,0.4588396423342341
28,ordinary,0.00025,0.0866273373183613,0.9695748613678372,0.571253642723554,0.3664631643377501,0.9024137931034484,0.4518111109995094
29,ordinary,0.00025,0.0795956544713039,0.973641404805915,0.7074199335463754,0.3812062158024517,0.8962068965517241,0.4475029282571048
30,ordinary,0.00025,0.0750896403956435,0.9735304990757856,0.5726703206776533,0.3868181815743446,0.9020689655172414,0.4578439535653018
