,family,validation_accuracy,validation_macro_f1,complexity_parameters,epochs_run,selected
cnn_continue_weighted,cnn,0.8696551724137931,0.6964320883810664,684604,8,True
shallow_mlp_lower_lr,shallow_mlp,0.7420689655172413,0.44320152900303555,9469308,15,False
deeper_mlp_two_layers,deeper_mlp,0.7324137931034482,0.3783012712188087,9486332,20,False
