epoch,accuracy,loss,macro_f1,val_accuracy,val_loss,val_macro_f1,learning_rate
1,0.7201951742172241,0.7141470313072205,0.3171363472938537,0.654137909412384,0.8230413794517517,0.3103293478488922,0.0010000000474974
2,0.7770877480506897,0.5711869597434998,0.4073178172111511,0.7589654922485352,0.6184999942779541,0.4543141722679138,0.0010000000474974
3,0.8055894374847412,0.5169481039047241,0.485906034708023,0.7655172348022461,0.6077225804328918,0.4893718361854553,0.0010000000474974
4,0.8177886009216309,0.4875600337982178,0.5417294502258301,0.79758620262146,0.5326948165893555,0.4528360366821289,0.0010000000474974
5,0.8268086314201355,0.4657725393772125,0.5720463991165161,0.8331034779548645,0.4656643271446228,0.6099534034729004,0.0010000000474974
6,0.8370115756988525,0.441221535205841,0.6000357866287231,0.8041379451751709,0.5328748226165771,0.4710803925991058,0.0010000000474974
7,0.8439614176750183,0.4291712939739227,0.6234844923019409,0.7920689582824707,0.5245490670204163,0.5352846384048462,0.0010000000474974
8,0.858452558517456,0.391630083322525,0.652012050151825,0.8348276019096375,0.4625094830989837,0.4948850274085998,0.0005000000237487
9,0.8634800910949707,0.3772181272506714,0.6639153361320496,0.8455172181129456,0.4459490776062011,0.6145691871643066,0.0005000000237487
10,0.8645151853561401,0.3724156022071838,0.669628918170929,0.7968965768814087,0.5651979446411133,0.6349148750305176,0.0005000000237487
11,0.870503842830658,0.3642532229423523,0.685240626335144,0.8513793349266052,0.4217817187309265,0.6400715112686157,0.0005000000237487
12,0.8699493408203125,0.3582099676132202,0.6831938028335571,0.8475862145423889,0.4349441528320312,0.5969269871711731,0.0005000000237487
13,0.8720934391021729,0.3512058854103088,0.685670018196106,0.8534482717514038,0.4045513570308685,0.6411291360855103,0.0005000000237487
14,0.876788318157196,0.3446153998374939,0.7002761363983154,0.8600000143051147,0.4200415909290313,0.7007142305374146,0.0005000000237487
15,0.877157986164093,0.3366776406764984,0.6990403532981873,0.8506896495819092,0.4393761754035949,0.6895674467086792,0.0005000000237487
16,0.8783039450645447,0.3334267735481262,0.7030482888221741,0.845862090587616,0.4416672587394714,0.6837671995162964,0.0005000000237487
17,0.8861040472984314,0.3133441507816314,0.723363995552063,0.8727586269378662,0.3788762390613556,0.7326995730400085,0.0002500000118743
18,0.8878784775733948,0.3068841695785522,0.7305580377578735,0.8600000143051147,0.4155119359493255,0.6636647582054138,0.0002500000118743
19,0.8890983462333679,0.3031404614448547,0.727230429649353,0.8517241477966309,0.4084421694278717,0.6489958763122559,0.0002500000118743
20,0.8955676555633545,0.2890697419643402,0.7450588941574097,0.8634482622146606,0.3833463788032532,0.7105949521064758,0.0001250000059371
21,0.8983401656150818,0.2838633954524994,0.7477593421936035,0.8658620715141296,0.4147875010967254,0.6377803683280945,0.0001250000059371
22,0.9016302824020386,0.2772660255432129,0.7589960098266602,0.8789654970169067,0.3568316400051117,0.7334202527999878,6.25000029685907e-05
23,0.901112735271454,0.2756634950637817,0.756429135799408,0.8734482526779175,0.3662869930267334,0.7054500579833984,6.25000029685907e-05
24,0.9024065732955932,0.2748385071754455,0.7552463412284851,0.8737931251525879,0.3629380762577057,0.7101879119873047,6.25000029685907e-05
25,0.9034046530723572,0.2704868912696838,0.7629210948944092,0.8762068748474121,0.3627607822418213,0.7027232646942139,3.125000148429535e-05
26,0.902554452419281,0.2701868712902069,0.7605497241020203,0.8765517473220825,0.3624407052993774,0.7203190922737122,3.125000148429535e-05
27,0.9027762413024902,0.269474059343338,0.7615531086921692,0.8779310584068298,0.3585666418075561,0.7139391899108887,1.5625000742147677e-05
28,0.9044767022132874,0.2676060497760772,0.7643711566925049,0.8775861859321594,0.3599745631217956,0.7179797291755676,1.5625000742147677e-05
29,0.9048833847045898,0.2661393582820892,0.7598865032196045,0.8793103694915771,0.3601177632808685,0.7161901593208313,7.812500371073838e-06
