epoch,accuracy,loss,macro_f1,val_accuracy,val_loss,val_macro_f1
1,0.4937495291233063,1.2797092199325562,0.3960258960723877,0.5897436141967773,0.8965145945549011,0.5337798595428467
2,0.5476366877555847,1.0329880714416504,0.47528085112571716,0.6285424828529358,0.8632428646087646,0.5853270292282104
3,0.5739330053329468,0.9830960035324097,0.5032950639724731,0.6393387317657471,0.8744534850120544,0.5879181623458862
4,0.5902803540229797,0.9368383884429932,0.529255747795105,0.6204453706741333,0.8656415343284607,0.5845332145690918
5,0.6027812957763672,0.9017202854156494,0.5447579026222229,0.6605938076972961,0.8133096098899841,0.605911135673523
6,0.6099933385848999,0.9138014912605286,0.5563227534294128,0.6315789222717285,0.8350167870521545,0.543634295463562
7,0.6165766716003418,0.8768042325973511,0.5594040155410767,0.6508097052574158,0.8057332634925842,0.5902549624443054
8,0.6240845918655396,0.8722146153450012,0.570305585861206,0.6565452218055725,0.8163452744483948,0.5916637182235718
9,0.6314076781272888,0.8582289814949036,0.5790293216705322,0.6578947305679321,0.8232679963111877,0.6132393479347229
10,0.6373252272605896,0.8422850370407104,0.5851562023162842,0.6629554629325867,0.7861775159835815,0.5897725820541382
11,0.6418374180793762,0.8361222147941589,0.5930526256561279,0.6774628758430481,0.7814611196517944,0.6291350722312927
12,0.6412826180458069,0.846301794052124,0.5915758609771729,0.673751711845398,0.7947918772697449,0.6255148649215698
13,0.6407278776168823,0.8283547163009644,0.5950226783752441,0.6656545400619507,0.7820947170257568,0.6257823705673218
14,0.6491973996162415,0.8102990388870239,0.607102632522583,0.6713899970054626,0.7710581421852112,0.6211161613464355
15,0.649345338344574,0.8180474042892456,0.6067578196525574,0.6740890741348267,0.7797987461090088,0.6293482184410095
16,0.6582587361335754,0.7987692356109619,0.6163918972015381,0.6801619529724121,0.7657962441444397,0.6369550228118896
17,0.6584436893463135,0.7977853417396545,0.6172574758529663,0.6767881512641907,0.7859619855880737,0.6421493291854858
18,0.6592203378677368,0.7980759739875793,0.6202186942100525,0.6575573682785034,0.7880182266235352,0.6089944243431091
19,0.6615504026412964,0.795307993888855,0.6227619647979736,0.6649797558784485,0.7725235223770142,0.6056464910507202
20,0.6616613864898682,0.7887844443321228,0.6205111742019653,0.6842105388641357,0.7644394636154175,0.6343408226966858
