epoch,accuracy,loss,macro_f1,val_accuracy,val_loss,val_macro_f1
1,0.8059149980545044,0.6590103507041931,0.25811582803726196,0.8351724147796631,0.5187728404998779,0.31294623017311096
2,0.8314972519874573,0.5273923873901367,0.28956925868988037,0.8531034588813782,0.508934736251831,0.3495955765247345
3,0.8455822467803955,0.49935755133628845,0.31008729338645935,0.8586207032203674,0.45139357447624207,0.36451777815818787
4,0.8489094376564026,0.48014721274375916,0.32333293557167053,0.8551723957061768,0.5470491051673889,0.35079458355903625
5,0.8533456325531006,0.46751540899276733,0.3427205979824066,0.8544827699661255,0.509454071521759,0.3565465211868286
6,0.8617005348205566,0.4418192207813263,0.3642785847187042,0.8620689511299133,0.47728675603866577,0.4112170934677124
7,0.8621072173118591,0.4435228705406189,0.36966612935066223,0.8520689606666565,0.5864761471748352,0.39855194091796875
8,0.8629944324493408,0.43126460909843445,0.32862722873687744,0.863103449344635,0.503922164440155,0.4015055298805237
9,0.8668761849403381,0.41252341866493225,0.37412792444229126,0.8644827604293823,0.4778222143650055,0.36446070671081543
10,0.8681330680847168,0.41046521067619324,0.3695385456085205,0.8737931251525879,0.48743897676467896,0.4521854519844055
11,0.8722366094589233,0.38432177901268005,0.41061317920684814,0.8744827508926392,0.4831310510635376,0.45089685916900635
12,0.873123824596405,0.37991786003112793,0.40318983793258667,0.8644827604293823,0.49107593297958374,0.4411160349845886
13,0.8750832080841064,0.37544435262680054,0.4029887914657593,0.8582758903503418,0.48696428537368774,0.40463417768478394
14,0.8724953532218933,0.41297265887260437,0.36068612337112427,0.8579310178756714,0.5542588233947754,0.3953718841075897
