accuracy,loss,macro_f1,val_accuracy,val_loss,val_macro_f1
0.5705673694610596,1.0082192420959473,0.5039117336273193,0.6386639475822449,0.8286376595497131,0.575863778591156
0.6116206645965576,0.9078993797302246,0.5599918961524963,0.6609311699867249,0.8119860291481018,0.6072365641593933
0.6319254636764526,0.8831620812416077,0.5837689638137817,0.6666666865348816,0.7817661762237549,0.6346299052238464
0.6405059695243835,0.8676436543464661,0.599648118019104,0.6612685322761536,0.7990561127662659,0.6093782186508179
0.649530291557312,0.8370439410209656,0.6048974394798279,0.6454116106033325,0.8944000601768494,0.6026275157928467
0.6585176587104797,0.8326147794723511,0.6172804832458496,0.6663292646408081,0.7831760048866272,0.6063675880432129
0.6589244604110718,0.8444699645042419,0.621284008026123,0.6791498064994812,0.7846094965934753,0.6361124515533447
0.6635845899581909,0.8125906586647034,0.6279589533805847,0.6676788330078125,0.8161303997039795,0.6340780258178711
0.6677268743515015,0.8235819935798645,0.628957986831665,0.6666666865348816,0.8065723180770874,0.6311447024345398
0.6714254021644592,0.8175418972969055,0.6351010203361511,0.6858974099159241,0.7707293033599854,0.6392585039138794
0.6777498126029968,0.7780288457870483,0.6442340612411499,0.6842105388641357,0.8059686422348022,0.6368505954742432
0.6809305548667908,0.7768640518188477,0.6466634273529053,0.6767881512641907,0.8122414350509644,0.637895405292511
0.6770101189613342,0.77320396900177,0.6444944739341736,0.6882591247558594,0.8829190135002136,0.6445918679237366
0.6832606196403503,0.7772814631462097,0.6546140909194946,0.6767881512641907,0.8759387731552124,0.6339813470840454
0.6838893294334412,0.7611665725708008,0.6524176597595215,0.6912955641746521,0.748636782169342,0.6479254364967346
0.6860344409942627,0.7664955854415894,0.6576422452926636,0.6953441500663757,0.7775902152061462,0.6562896966934204
0.6922849416732788,0.764254629611969,0.6621533036231995,0.6747638583183289,0.9582942128181458,0.639385461807251
0.6893261075019836,0.7530454397201538,0.6604962348937988,0.6825236082077026,0.7688396573066711,0.6488662362098694
0.6925068497657776,0.7225083112716675,0.665632963180542,0.6997300982475281,0.7488131523132324,0.6578547358512878
0.6953916549682617,0.7271875739097595,0.6689543724060059,0.6744264364242554,0.806967556476593,0.6356003284454346
