epoch,accuracy,loss,macro_f1,val_accuracy,val_loss,val_macro_f1
1,0.5723426342010498,1.0367426872253418,0.5060592293739319,0.637651801109314,0.8432216644287109,0.5402843952178955
2,0.6177232265472412,0.9081562161445618,0.5684004426002502,0.6592442393302917,0.8282206058502197,0.599784255027771
3,0.6338486671447754,0.8766039609909058,0.5880959630012512,0.6683535575866699,0.8224465847015381,0.6360704302787781
4,0.6476070880889893,0.8730794787406921,0.6064287424087524,0.6619433164596558,0.8266369104385376,0.6318966150283813
5,0.6565943956375122,0.8408816456794739,0.6166340112686157,0.6568825840950012,0.8416798114776611,0.6249469518661499
6,0.6633626818656921,0.8242547512054443,0.6242622137069702,0.6740890741348267,0.7891591191291809,0.6121497750282288
7,0.6709445714950562,0.8268545866012573,0.6311430335044861,0.6865721940994263,0.7922568321228027,0.6492295265197754
8,0.6717952489852905,0.8437119126319885,0.6366947889328003,0.6744264364242554,0.7842124104499817,0.6350732445716858
9,0.677232027053833,0.835527241230011,0.6422023773193359,0.6720647811889648,0.815967857837677,0.6333974599838257
10,0.6774909496307373,0.7971118688583374,0.6422401666641235,0.6916329264640808,0.7666466236114502,0.6303316354751587
11,0.6822620034217834,0.8055904507637024,0.6492949724197388,0.6855600476264954,0.8592026233673096,0.6468906402587891
