epoch,accuracy,loss,macro_f1,val_accuracy,val_loss,val_macro_f1
1,0.7881700396537781,0.6421921849250793,0.1858813613653183,0.7727586030960083,0.6280592679977417,0.1224167123436927
2,0.8173752427101135,0.5262933969497681,0.2497919350862503,0.8255172371864319,0.4827132523059845,0.3021050989627838
3,0.8340850472450256,0.4816994369029999,0.2771445512771606,0.8217241168022156,0.4899828732013702,0.3066407144069671
4,0.8405914902687073,0.4551383852958679,0.2901120483875274,0.813103437423706,0.5515550374984741,0.3355332911014557
5,0.8450646996498108,0.4376482665538788,0.2986514270305633,0.767241358757019,0.6054966449737549,0.3312380015850067
6,0.851497232913971,0.4258044958114624,0.3071736991405487,0.8234483003616333,0.5282697081565857,0.2772238850593567
7,0.8583734035491943,0.409965842962265,0.3155074119567871,0.8486207127571106,0.462489902973175,0.3555521965026855
8,0.8592236638069153,0.4020144045352936,0.3183694779872894,0.8455172181129456,0.4503354430198669,0.3392183780670166
9,0.8652125597000122,0.3905004560947418,0.324844628572464,0.8255172371864319,0.5347293019294739,0.2696751058101654
10,0.8675416111946106,0.3786835968494415,0.3278765082359314,0.8637930750846863,0.405223399400711,0.3688358664512634
11,0.8698336482048035,0.3730945885181427,0.3309352397918701,0.8610345125198364,0.4124984741210937,0.3535929322242737
12,0.8709057569503784,0.3639234006404876,0.3333125114440918,0.8610345125198364,0.3950455784797668,0.3539816737174988
13,0.8756007552146912,0.3547873198986053,0.3504344224929809,0.8600000143051147,0.4239208102226257,0.3599305152893066
14,0.8768206834793091,0.348993182182312,0.3387341797351837,0.8244827389717102,0.5650128126144409,0.2897073924541473
15,0.8794084787368774,0.3409654200077057,0.353781908750534,0.8741379380226135,0.4045152068138122,0.3713486492633819
16,0.8814048171043396,0.3394525349140167,0.3567662239074707,0.8686206936836243,0.400356650352478,0.3684538900852203
17,0.8823290467262268,0.3333102762699127,0.3690775036811828,0.8662068843841553,0.3874707520008087,0.359915554523468
18,0.8855453133583069,0.3243815004825592,0.3729568719863891,0.8348276019096375,0.6105969548225403,0.2903580665588379
19,0.8876525163650513,0.3184307515621185,0.3634366989135742,0.8444827795028687,0.4481482207775116,0.3709641695022583
20,0.8880221843719482,0.3172231614589691,0.3752970397472381,0.8675861954689026,0.3917463719844818,0.3815283179283142
21,0.8883548974990845,0.3123831748962402,0.3730073571205139,0.8537930846214294,0.4586657285690307,0.3405782580375671
22,0.8920517563819885,0.3079897761344909,0.3606904745101928,0.869655191898346,0.401083767414093,0.3653689622879028
23,0.8928650617599487,0.2999667227268219,0.3799472749233246,0.886896550655365,0.3818365633487701,0.3898599147796631
24,0.8923105597496033,0.3006732165813446,0.3680778741836548,0.8762068748474121,0.3661869764328003,0.3962904512882232
25,0.8958595395088196,0.292546272277832,0.3717290461063385,0.8858620524406433,0.3454253375530243,0.3930384516716003
26,0.8961552977561951,0.2915744483470917,0.3934484422206878,0.885172426700592,0.3596207499504089,0.3883907794952392
27,0.8981515765190125,0.283408522605896,0.3839325606822967,0.864827573299408,0.3982011377811432,0.3743526935577392
28,0.9001478552818298,0.2798629403114319,0.3917869627475738,0.8820689916610718,0.3580265343189239,0.3908807337284088
29,0.901441752910614,0.2743457853794098,0.4109989404678345,0.8813793063163757,0.389191061258316,0.3921353816986084
30,0.9032902121543884,0.2698772549629211,0.4095552265644073,0.8810344934463501,0.3770115375518799,0.3875824213027954
