method,validation_accuracy,validation_macro_f1,validation_ece,complexity_parameters,epochs_run,accuracy_change_vs_ordinary,macro_f1_change_vs_ordinary
cnn_ordinary,0.8762068965517241,0.39629043497874145,0.021518220449316082,160969,30,0.0,0.0
cnn_scheduled,0.8803448275862069,0.39462002882257335,0.015619374349199456,160969,26,0.004137931034482789,-0.0016704061561680916
cnn_four_blocks_scheduled,0.9048275862068965,0.41865447296953423,0.028082139204288356,655049,30,0.028620689655172393,0.022364037990792784
