,Casual,Ethnic,Formal,Home,NA,Party,Smart Casual,Sports,Travel
Casual,2077,33,34,0,0,0,0,93,0
Ethnic,13,153,0,0,0,0,0,0,0
Formal,28,5,145,0,0,0,0,0,0
Home,0,0,0,0,0,0,0,0,0
NA,4,0,0,0,1,0,0,0,0
Party,1,0,0,0,0,0,0,0,0
Smart Casual,2,0,2,0,0,0,0,0,0
Sports,88,1,0,0,0,0,0,218,0
Travel,2,0,0,0,0,0,0,0,0
