epoch,accuracy,loss,macro_f1,val_accuracy,val_loss,val_macro_f1
1,0.6737643480300903,1.2691642045974731,0.3031296133995056,0.7593103647232056,0.6631211042404175,0.3617503046989441
2,0.7536875009536743,0.6720007061958313,0.3521715998649597,0.7555172443389893,0.5879639387130737,0.3644227981567383
3,0.7747588157653809,0.6037105321884155,0.3662699460983276,0.7631034255027771,0.7426759600639343,0.3747949004173279
4,0.7791578769683838,0.623146653175354,0.3877100348472595,0.7917241454124451,0.536288857460022,0.3844622373580932
5,0.7974936366081238,0.5554293990135193,0.4424585402011871,0.8062068819999695,0.5251213312149048,0.5100524425506592
6,0.8020405769348145,0.5427305698394775,0.4726141095161438,0.8051724433898926,0.5207548141479492,0.4953120350837707
7,0.8081771731376648,0.5265664458274841,0.4817613065242767,0.800000011920929,0.5238595008850098,0.5094782114028931
8,0.812280535697937,0.5207383036613464,0.5067101120948792,0.8186206817626953,0.5010305047035217,0.5309762358665466
9,0.8144985437393188,0.5046526789665222,0.487178236246109,0.8186206817626953,0.500537633895874,0.5318724513053894
10,0.8163838386535645,0.5056673884391785,0.501196026802063,0.8217241168022156,0.4990128576755523,0.545131504535675
11,0.8196739554405212,0.5010241866111755,0.4988950788974762,0.8275862336158752,0.4957510232925415,0.522329568862915
12,0.8218550086021423,0.4856804013252258,0.5006106495857239,0.8237931132316589,0.4869875609874725,0.532748818397522
13,0.8254408240318298,0.4782697558403015,0.5221192240715027,0.822068989276886,0.4827373623847961,0.5326857566833496
14,0.8271782994270325,0.4747807085514068,0.5256692171096802,0.8282758593559265,0.4801985025405884,0.5313120484352112
15,0.8310968279838562,0.4696288704872131,0.5232440233230591,0.8237931132316589,0.47466641664505,0.5320261716842651
16,0.8276218771934509,0.4753220081329345,0.5263546109199524,0.8137931227684021,0.4998130202293396,0.4824824333190918
17,0.8303574919700623,0.470586746931076,0.5265846848487854,0.8293103575706482,0.4670175313949585,0.5855311155319214
18,0.8317622542381287,0.4567869305610657,0.5184959173202515,0.8334482908248901,0.4586083889007568,0.5693854093551636
19,0.8293593525886536,0.4674142301082611,0.5183166265487671,0.8282758593559265,0.4749227464199066,0.6107341647148132
20,0.8353480696678162,0.4569926559925079,0.5317651033401489,0.8299999833106995,0.4610258638858795,0.5733778476715088
21,0.8360134363174438,0.4584593474864959,0.5444497466087341,0.8382758498191833,0.4602638781070709,0.588376522064209
22,0.8354958891868591,0.447898805141449,0.5444448590278625,0.8431034684181213,0.4420828521251678,0.6290591955184937
23,0.8372703194618225,0.4442213773727417,0.5448571443557739,0.8379310369491577,0.4482376277446747,0.5701680183410645
24,0.8377878665924072,0.4441089332103729,0.5499171614646912,0.8351724147796631,0.4539625346660614,0.5975609421730042
25,0.8389338850975037,0.4420700073242187,0.5570589900016785,0.8241379261016846,0.4708442091941833,0.5919128656387329
26,0.8404495120048523,0.4364728629589081,0.5690274834632874,0.841724157333374,0.4492989778518677,0.6332584619522095
27,0.8430002331733704,0.4338976740837097,0.5723201632499695,0.8406896591186523,0.4478730261325836,0.5815289616584778
28,0.844368040561676,0.429684430360794,0.5922702550888062,0.8327586054801941,0.4696488082408905,0.5461760759353638
29,0.8437765836715698,0.4323880672454834,0.600674569606781,0.8355172276496887,0.4619024097919464,0.6409245729446411
30,0.8456618785858154,0.4344167411327362,0.5975433588027954,0.843448281288147,0.4562073051929474,0.6349673271179199
