accuracy,loss,macro_f1,val_accuracy,val_loss,val_macro_f1
0.7155373096466064,0.9405155181884766,0.3979741632938385,0.7855172157287598,0.6091529130935669,0.5163173675537109
0.7699900269508362,0.683957040309906,0.4658663272857666,0.7996551990509033,0.567895233631134,0.5118170976638794
0.7840375304222107,0.6329610347747803,0.4726366102695465,0.8086206912994385,0.5584767460823059,0.5458715558052063
0.7986026406288147,0.5873643159866333,0.5117093324661255,0.8100000023841858,0.5235602259635925,0.5726893544197083
0.8061069846153259,0.5491877794265747,0.520739734172821,0.817931056022644,0.530944287776947,0.6292887926101685
0.8098037242889404,0.5339053869247437,0.5514858961105347,0.8244827389717102,0.5107948780059814,0.6203430891036987
0.8172710537910461,0.5067517161369324,0.5557994842529297,0.8224138021469116,0.5022183656692505,0.6150099039077759
0.8215592503547668,0.49782827496528625,0.5723661780357361,0.8303448557853699,0.49027785658836365,0.6485836505889893
0.8242579102516174,0.4919975697994232,0.5756288766860962,0.8186206817626953,0.509830892086029,0.6301947236061096
0.8258104920387268,0.4821186363697052,0.5714957118034363,0.8258620500564575,0.4837319850921631,0.6407659649848938
0.8285461068153381,0.4769221246242523,0.5870578289031982,0.8362069129943848,0.4950202405452728,0.6519147157669067
0.8309859037399292,0.4699431359767914,0.582964301109314,0.8255172371864319,0.4850640594959259,0.6166694164276123
0.8342020511627197,0.46126481890678406,0.5899545550346375,0.8258620500564575,0.5313292741775513,0.5790010094642639
0.833425760269165,0.46177932620048523,0.5984146595001221,0.8362069129943848,0.4656488597393036,0.6601556539535522
0.8354219794273376,0.44881460070610046,0.6006085276603699,0.8248276114463806,0.4914558231830597,0.629033088684082
0.8388229608535767,0.44261491298675537,0.6010814905166626,0.8379310369491577,0.47230127453804016,0.653075098991394
0.8401907682418823,0.4412713050842285,0.6062699556350708,0.8303448557853699,0.49528536200523376,0.6059260964393616
0.8406713008880615,0.44791364669799805,0.6088224649429321,0.8451724052429199,0.46638768911361694,0.6911767721176147
0.8445528745651245,0.43272534012794495,0.6257566213607788,0.8403448462486267,0.46485447883605957,0.6386896371841431
0.8420760631561279,0.42643439769744873,0.6219183802604675,0.8427585959434509,0.4517619013786316,0.6886317729949951
