accuracy,loss,macro_f1,val_accuracy,val_loss,val_macro_f1
0.50528883934021,1.3446375131607056,0.4240233302116394,0.5843454599380493,0.9245340824127197,0.5060046911239624
0.5592869520187378,1.1019387245178223,0.49170777201652527,0.637651801109314,0.8790977597236633,0.5702561736106873
0.5879873037338257,1.0193097591400146,0.5200093984603882,0.6285424828529358,0.8676729202270508,0.5909589529037476
0.601116955280304,0.9632235765457153,0.5390893220901489,0.6363022923469543,0.85713130235672,0.5545331239700317
0.6120644807815552,0.9526776671409607,0.5550358295440674,0.6427125334739685,0.8071908354759216,0.5854684114456177
0.620238184928894,0.9093139171600342,0.5615866184234619,0.6605938076972961,0.8192077875137329,0.6014490127563477
0.6233079433441162,0.8778921365737915,0.5681553483009338,0.6602563858032227,0.8189013004302979,0.6037768125534058
0.6274502277374268,0.8682740926742554,0.5743076205253601,0.6639676094055176,0.816573441028595,0.6092378497123718
0.6357718706130981,0.8658336400985718,0.5855681896209717,0.6683535575866699,0.790741503238678,0.6277469396591187
0.6300022006034851,0.8678314089775085,0.5761806964874268,0.6774628758430481,0.7703084945678711,0.6204167604446411
0.6396923065185547,0.8366492986679077,0.5908923149108887,0.6724021434783936,0.7859508395195007,0.6332272291183472
0.6429469585418701,0.823633074760437,0.5963167548179626,0.6653171181678772,0.791827380657196,0.612187922000885
0.6471632719039917,0.8137421607971191,0.6037118434906006,0.6670040488243103,0.7693089246749878,0.6143043637275696
0.649234414100647,0.8120169043540955,0.604066789150238,0.6558704376220703,0.7928023934364319,0.6124811768531799
0.6516014337539673,0.8151889443397522,0.6091151237487793,0.6801619529724121,0.7588690519332886,0.6435368061065674
0.654819130897522,0.8002215027809143,0.6138448715209961,0.6798245906829834,0.7691376805305481,0.6394033432006836
0.6566683650016785,0.8007532954216003,0.6183444261550903,0.6771255135536194,0.7651233673095703,0.6390528082847595
0.6581107974052429,0.790883481502533,0.616765022277832,0.6821862459182739,0.7611082196235657,0.6375641226768494
0.6608477234840393,0.7879356145858765,0.6200922727584839,0.686909556388855,0.758053183555603,0.6458106637001038
0.6613655090332031,0.787307620048523,0.6269527673721313,0.6828609704971313,0.7569461464881897,0.642249584197998
