split,relevance,precision@1,hit_rate@1,recall@1,precision@5,hit_rate@5,recall@5,precision@10,hit_rate@10,recall@10,mean_reciprocal_rank
validation,article,0.8729887024991442,0.8729887024991442,0.0037079753165150226,0.8539541252995586,0.937863745292708,0.014751663424347921,0.8461999315302988,0.9570352618966107,0.025862838663970506,0.9023382047317998
validation,article_and_colour,0.30434782608695654,0.30434782608695654,0.005949830082863339,0.27494008901061806,0.5989387196165696,0.021277180340984907,0.2559568640876392,0.7057514549811709,0.037186939518657446,0.43815569553822803
test,article,0.8614900314795383,0.8614900314795383,0.002702350109832025,0.8478488982161643,0.9386149003147953,0.012154901020063159,0.8376880027981841,0.9540048968170689,0.021673729416479357,0.8959389582362712
test,article_and_colour,0.29765652325988107,0.29765652325988107,0.004402701823993336,0.2654424623994452,0.5821965722280518,0.018363877770627264,0.24877579573277192,0.6953480237845401,0.03218599824602669,0.42882266780553574
