epoch,accuracy,loss,macro_f1,val_accuracy,val_loss,val_macro_f1,learning_rate
1,0.585065484046936,0.9450280070304872,0.4972153007984161,0.5502699017524719,1.0164172649383545,0.3870542049407959,0.0010000000474974
2,0.6571491956710815,0.8078295588493347,0.6325005292892456,0.5954790711402893,1.1123253107070925,0.4548823535442352,0.0010000000474974
3,0.6726459264755249,0.7709494829177856,0.6552502512931824,0.658906877040863,0.7792856693267822,0.6696518659591675,0.0010000000474974
4,0.6898439526557922,0.7378140687942505,0.6760475635528564,0.6808366775512695,0.7920153141021729,0.6532458662986755,0.0010000000474974
5,0.6999778151512146,0.7167456746101379,0.68731689453125,0.7105262875556946,0.7196473479270935,0.6802894473075867,0.0010000000474974
6,0.7063392400741577,0.704781174659729,0.6973121166229248,0.6602563858032227,0.9167957305908204,0.5797106027603149,0.0010000000474974
7,0.716066300868988,0.6849315166473389,0.7067052125930786,0.673751711845398,0.7626060247421265,0.6364632844924927,0.0010000000474974
8,0.7347437143325806,0.6469739675521851,0.7281960248947144,0.720310389995575,0.6819957494735718,0.7085055112838745,0.0005000000237487
9,0.7407722473144531,0.6316415667533875,0.7337884306907654,0.7246963381767273,0.6769387722015381,0.7019518613815308,0.0005000000237487
10,0.7447296380996704,0.6181464195251465,0.7378572225570679,0.6943320035934448,0.7897369265556335,0.6211979389190674,0.0005000000237487
11,0.7595975995063782,0.5868175029754639,0.75275719165802,0.7456140518188477,0.6423885822296143,0.726592481136322,0.0002500000118743
12,0.7639248371124268,0.5732550621032715,0.7580251097679138,0.7169365882873535,0.6995351314544678,0.687631368637085,0.0002500000118743
13,0.772875189781189,0.5622484087944031,0.764208972454071,0.7354925870895386,0.6449613571166992,0.7244096398353577,0.0002500000118743
14,0.7815666794776917,0.535679042339325,0.7736301422119141,0.7429149746894836,0.6352437138557434,0.7253259420394897,0.0001250000059371
15,0.7875582575798035,0.5247324705123901,0.779849648475647,0.7547233700752258,0.6341681480407715,0.7363119125366211,0.0001250000059371
16,0.7919594645500183,0.5174059271812439,0.7830106019973755,0.7489878535270691,0.6376773715019226,0.7342727184295654,0.0001250000059371
17,0.7945483922958374,0.5072453022003174,0.7865089178085327,0.747300922870636,0.6415544748306274,0.7353160977363586,0.0001250000059371
18,0.8002811074256897,0.4903231859207153,0.7900916934013367,0.7489878535270691,0.6364803910255432,0.7312804460525513,6.25000029685907e-05
19,0.8064945340156555,0.4847308993339538,0.7962393164634705,0.7385290265083313,0.6360719799995422,0.7311513423919678,6.25000029685907e-05
20,0.8113396167755127,0.4720933139324188,0.8002817630767822,0.7479757070541382,0.6387212872505188,0.7318882346153259,3.125000148429535e-05
21,0.8108587861061096,0.4716813862323761,0.7994910478591919,0.7466261982917786,0.6347367763519287,0.734489381313324,3.125000148429535e-05
22,0.815592885017395,0.464082270860672,0.8047801852226257,0.7530364394187927,0.6373820900917053,0.7316746711730957,1.5625000742147677e-05
