epoch,accuracy,loss,macro_f1,val_accuracy,val_loss,val_macro_f1
1,0.7736867666244507,0.6561509370803833,0.5007907152175903,0.8120689392089844,0.550421416759491,0.5725719332695007
2,0.8170492649078369,0.5379275679588318,0.5888955593109131,0.8210344910621643,0.4906279444694519,0.5998729467391968
3,0.824073076248169,0.516127347946167,0.6006785035133362,0.8186206817626953,0.5266183614730835,0.6294084787368774
4,0.8349044322967529,0.46744686365127563,0.6177452802658081,0.8282758593559265,0.4761064648628235,0.650327205657959
5,0.8435917496681213,0.44190436601638794,0.6467449069023132,0.8441379070281982,0.46094420552253723,0.7064417004585266
6,0.84510737657547,0.47828245162963867,0.6573435068130493,0.8186206817626953,0.676028311252594,0.6274539232254028
7,0.848878026008606,0.44260066747665405,0.647391676902771,0.8355172276496887,0.47339072823524475,0.6073435544967651
8,0.8499870896339417,0.43178749084472656,0.6625787019729614,0.8468965291976929,0.4601784646511078,0.7117527723312378
9,0.85919189453125,0.3986101746559143,0.6820003390312195,0.8455172181129456,0.45816558599472046,0.6832466721534729
10,0.8564193844795227,0.40752264857292175,0.6759694814682007,0.838620662689209,0.4908827841281891,0.6719721555709839
11,0.8565672039985657,0.4150405824184418,0.6835910081863403,0.8586207032203674,0.46601104736328125,0.6999639868736267
12,0.8632583022117615,0.38003990054130554,0.6877034306526184,0.8531034588813782,0.437611848115921,0.7104671001434326
