method,accuracy,macro_f1,ece,nll,mean_corruption_sample_macro_f1,selected,evaluation_scope
original,0.720310391363023,0.7086487523063292,0.022504115876881215,0.6819077134132385,0.5820246197532797,True,selection_view_only
augmented,0.6892712550607287,0.6668117591417024,0.06074629418360882,0.7473313212394714,0.6130150937143468,False,selection_view_only
