epoch,loss_mode,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1
1,ordinary,0.9986894785039603,0.5479695243731045,0.36613495436740773,0.9077070055452264,0.6029462144570058,0.42175409646279743
2,ordinary,0.8874204357362233,0.6067386641023744,0.47113834201661553,0.9435131136339467,0.6031175059952039,0.44665415832898236
3,ordinary,0.840067336678161,0.6418004290258155,0.5883312710370449,0.8266262143758438,0.630866735183282,0.5896645468727655
4,ordinary,0.8083048810116928,0.6558917079665656,0.6221722003831865,0.8242066508288578,0.6464542651593012,0.586176996982356
5,ordinary,0.7878850859750595,0.6677638878615282,0.6416448250365575,0.8517355985860376,0.6632408359027064,0.6012082187620746
6,ordinary,0.7673941057844181,0.6753827945853983,0.6512225308316038,0.7862356400481639,0.6779719081877356,0.6085946724992433
7,ordinary,0.7535087559533389,0.6797100377246837,0.6578143282555727,0.7501899981874438,0.6778006166495375,0.6409008211235371
8,ordinary,0.7419526132088334,0.6858495450846956,0.6672072173034257,0.7325068558679537,0.6885919835560124,0.6562181363822177
9,ordinary,0.7329745218725421,0.6932835268880835,0.6778249417466566,0.8642815473901364,0.6221308667351833,0.5366674302782652
10,ordinary,0.7222634105871429,0.6984244396774909,0.6802367331695797,0.7389142971285486,0.6880781089414183,0.6503565471270844
11,ordinary,0.710903722476797,0.7041201272283453,0.6890324452845797,0.75394764482342,0.6752312435765673,0.6669830424317171
12,ordinary,0.7037962251129619,0.7077816406538945,0.6910427135635817,0.7893469488020424,0.6656389174374786,0.653836331380051
13,ordinary,0.6959982989446167,0.7092610400177528,0.6953087203089497,0.7169933561471767,0.7050359712230215,0.6858219904652334
14,ordinary,0.6868136839688869,0.7126266735705303,0.70085276411073,0.7173796093149437,0.7024665981500514,0.665109265691364
15,ordinary,0.679076248027753,0.7166950218211406,0.7028835408479592,0.7079724182450392,0.7060637204522097,0.6853608414926404
16,ordinary,0.6750725374762163,0.7195428655965678,0.7065511267947446,0.7325582669262365,0.6959575196985269,0.6869662122042531
17,ordinary,0.6710978420416149,0.7212071898809084,0.7090339863105549,0.77124829147727,0.671120246659815,0.645571410242482
18,ordinary,0.6614789806912043,0.7266809675271839,0.7154645105549513,0.6815573882468557,0.7156560465912984,0.6864717277044511
19,ordinary,0.6571795000344112,0.7272357422886309,0.7168930459387947,0.721894519404215,0.7067488866050017,0.6721656483390328
20,ordinary,0.6519224909346735,0.729195946445743,0.7158844132070157,0.6873532845656241,0.7122302158273381,0.68864279947247
21,ordinary,0.6446067961426791,0.7308602707300836,0.7202445614572781,0.7499985752059973,0.6939020212401508,0.6542809055943325
22,ordinary,0.638095520068065,0.7358902285672018,0.7262896927146749,0.7123336427503353,0.710517300445358,0.6619816395552753
23,ordinary,0.6336412911840476,0.7352984688216584,0.7256106869138441,0.6878814583528773,0.7178828365878726,0.700885390431276
24,ordinary,0.6288056130442397,0.7408832014202233,0.7307986664866741,0.7477364156008501,0.6909900650907845,0.6474500337766507
25,ordinary,0.6245182096645124,0.7408832014202233,0.729821355841896,0.7280100520933764,0.6891058581706063,0.639063945657499
26,ordinary,0.6169075391923757,0.7452474295436053,0.7362368140214711,0.7247619379175244,0.6930455635491607,0.6911896191856053
27,ordinary,0.6164823840845882,0.7471706487166211,0.7366529333725034,0.7445133159159797,0.697327852004111,0.6625158396349318
28,ordinary,0.6064060264256625,0.7489089429691546,0.7380914111859616,0.6917333677640799,0.7180541281260706,0.6945191728325433
