method,precision@1,hit_rate@1,recall@1,precision@5,hit_rate@5,recall@5,precision@10,hit_rate@10,recall@10,mean_reciprocal_rank,dimensions,gallery_mib,feature_and_evaluation_seconds
pixel,0.7286888052036974,0.7286888052036974,0.0031403133752528197,0.669188634029443,0.8938719616569668,0.010418719359184684,0.6390790825059925,0.9306744265662444,0.01723728416591597,0.8021794180953074,576,59.438232421875,19.996257899998454
hog_hsv,0.7694282779869908,0.7694282779869908,0.0033804093124878243,0.7226292365628255,0.9267374186922287,0.011906276961301511,0.6953440602533415,0.9513865114686751,0.020343794508123354,0.8380639117718665,1284,132.4977264404297,46.45474740001373
hog_hsv_shape_0.25,0.7728517630948305,0.7728517630948305,0.0033706622984367904,0.7263266004792922,0.9241698048613488,0.012115082282678756,0.6981170831906924,0.952413557001027,0.020559970585731113,0.8394382512996809,1284,132.4977264404297,48.23532420000993
hog_hsv_shape_0.50,0.7903115371448134,0.7903115371448134,0.00359216873078721,0.7458404655939781,0.9327285176309483,0.01284941132919253,0.7201814447107205,0.9614857925368024,0.02161352079907781,0.8533899203307775,1284,132.4977264404297,46.77702639999916
hog_hsv_shape_0.75,0.7986990756590209,0.7986990756590209,0.0037174226912221283,0.7513865114686787,0.9342690859294762,0.01296816249243598,0.7248031496063049,0.9608010955152345,0.021802365229786277,0.8587168993115696,1284,132.4977264404297,46.85449190001236
