epoch,loss_mode,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1
1,ordinary,2.2218781632463274,0.4308158663265683,0.07315736287541143,1.6290236009142653,0.5530640191715166,0.14796517157391598
2,ordinary,1.3854912766149572,0.6148756053380652,0.15495791571019174,1.3374084095887966,0.6215337213283122,0.18266202240285118
3,ordinary,1.1498638030927524,0.668884699271746,0.20570789594400582,1.1740740390315278,0.6523450872988702,0.2240032918388582
4,ordinary,1.0243237319792367,0.6977930575579461,0.239987719067725,1.1915875120303354,0.6326600479287915,0.2485018854964711
5,ordinary,0.9343755467048807,0.7215260064322946,0.27858976190851625,1.0687082680640503,0.687949332420404,0.2666060781341538
6,ordinary,0.8705694243443536,0.7341687922812465,0.3120752301047374,0.8782294797228036,0.7358781239301609,0.31804864749412476
7,ordinary,0.8268861032396908,0.7457395290377435,0.32704461257786,0.8087280207976459,0.7574460801095515,0.362311551681045
8,ordinary,0.7937985764134239,0.755868544600939,0.35670560513423405,0.7846951096158287,0.7685724067100308,0.3961602433961008
9,ordinary,0.7601687833741166,0.7659975601641345,0.3900611255602335,0.7410092791724148,0.7778158165011982,0.40587464510005056
10,ordinary,0.7309304918340692,0.7700639532734465,0.40170442537426526,0.8294194884718138,0.7596713454296474,0.3783769197522879
11,ordinary,0.7168380634973576,0.7737976414919966,0.4102618927587963,0.924732943341896,0.7144813420061623,0.34071538521411476
12,ordinary,0.7006011333581388,0.7783076411223245,0.4173715760113537,0.7117680271616214,0.7805546045874701,0.44215727344483263
13,ordinary,0.6757611304335371,0.7847399356770545,0.43987746977725806,0.7287651699971189,0.7887709688462855,0.4330742752631237
14,ordinary,0.6534711191347577,0.7909134597611919,0.45619511196627666,0.7434287360374832,0.7701129750085587,0.39632405298935064
15,ordinary,0.6397222068401358,0.794647147979742,0.47062749501562867,0.7717211735407729,0.7576172543649435,0.43210166861686233
16,ordinary,0.6325035551079875,0.7970869838453292,0.48671570082490434,0.6932968760303992,0.7928791509756933,0.46928532831194114
17,ordinary,0.6196212598032212,0.7973827215260064,0.4773184018050786,0.6656363989873441,0.7997261211913728,0.46721975605139066
18,ordinary,0.6071496844547284,0.803223540719382,0.512937294840859,0.6430184375909207,0.8045190003423485,0.4741833905107693
19,ordinary,0.5949401037009348,0.8078074747698791,0.49026535753742667,0.6712522185122219,0.8014378637452927,0.4901216810563903
20,ordinary,0.5840582148274592,0.8112823925178366,0.5302332893400041,0.6367661916242402,0.8057172201300924,0.5058675855225828
21,ordinary,0.568259568125134,0.814461572585117,0.5388339262415827,0.6750484095661251,0.7925368024649093,0.4808233739993814
22,ordinary,0.5666017207939485,0.8131307530220694,0.523065264024108,0.6460638982063693,0.8099965765148922,0.5010634421917014
23,ordinary,0.5524721102993756,0.8174928838120588,0.5541992625570129,0.6315055767259791,0.8076001369394044,0.47281748382455924
24,ordinary,0.545915323071046,0.8204132934087465,0.5672805281692415,0.6316075867392028,0.8084560082163642,0.4986886163545498
25,ordinary,0.5347002466801711,0.8230749325348415,0.5605363391973719,0.6181104888413222,0.8115371448134201,0.5281339232476251
26,ordinary,0.5268044504560625,0.8247014897785664,0.5857022642852744,0.6194020690513122,0.8144471071550838,0.5279940597931058
27,ordinary,0.5188761665077994,0.8271782928542383,0.6019040662583675,0.6669183792785519,0.796302636083533,0.5001385843660434
28,ordinary,0.5106102964293383,0.8309859154929577,0.6006365518735695,0.6496887544131124,0.8079424854501883,0.5203429940500542
29,ordinary,0.5044168176604641,0.8295072270895716,0.5911492651224416,0.622657969323628,0.8132488873673399,0.5219172041254243
30,ordinary,0.49955404054260993,0.8333887841484603,0.6006064551409894,0.5769481508750615,0.8245463882232112,0.5346522960318131
