epoch,loss_mode,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1
1,ordinary,0.710493741665727,0.7228568259953422,0.3001540780148991,0.6296313370755583,0.7435809654228004,0.3113411114835862
2,ordinary,0.5677498049665249,0.7805256737274038,0.3602927711909524,0.5837031824463894,0.78141047586443,0.37231421493198413
3,ordinary,0.5218515301481386,0.8027429669882814,0.45622622565972704,0.5164747822370401,0.813933584388908,0.515141027478409
4,ordinary,0.49250587752590663,0.8185279656944291,0.5309506978246646,0.5657867516242082,0.7884286203355015,0.49246003437187424
5,ordinary,0.4678972378488275,0.8258474732911907,0.5620533254894622,0.6368033200124893,0.75042793563848,0.45749541297635626
6,ordinary,0.443037651099981,0.8378248493586189,0.5963904366974879,0.5217228077915751,0.8212940773707634,0.6398992229040804
7,ordinary,0.42788777612241985,0.8449225536948727,0.6230822508525614,0.4279841444378885,0.8497090037658336,0.6434769468216369
8,ordinary,0.4142479778287997,0.8487301763335922,0.6277715236669053,0.4682296839775757,0.828483396097227,0.6233178411793387
9,ordinary,0.404360033846321,0.8536468152748512,0.6397327575900433,0.4198774449203325,0.8471413899349538,0.6565817694153868
10,ordinary,0.38644790685550107,0.8585264870060256,0.6615857234363082,0.4520594588557729,0.8473125641903457,0.6536454031343824
11,ordinary,0.3847968627276524,0.8596355033085653,0.6594604272208551,0.45582665770848046,0.843033207805546,0.48074162452341174
12,ordinary,0.37579766983977264,0.8627037817455917,0.6701761186212792,0.420923020732766,0.8488531324888736,0.6190712043498479
13,ordinary,0.3691193246981568,0.8661786994935492,0.6758820994054777,0.6091038146499737,0.7802122560766861,0.44981078278618886
14,ordinary,0.3609585163190155,0.8668810764851577,0.6846388233593286,0.402800215765941,0.8565559739815132,0.669114385834453
15,ordinary,0.35253005667136633,0.8722043547373479,0.6865356008511967,0.429701642431408,0.8461143444026018,0.6402230211593818
16,ordinary,0.34549528749159825,0.8743854201323427,0.7048436596415881,0.4039510522995531,0.8565559739815132,0.6608822114460244
17,ordinary,0.34275379244278487,0.8774167313592843,0.7101157573267043,0.4361099105957068,0.844402601848682,0.6829264844139746
18,ordinary,0.3327827453470059,0.8800044360652102,0.7077542713367944,0.4016678580903958,0.858952413557001,0.6587900882302101
19,ordinary,0.33250321218748946,0.8807807474769879,0.7134479771378484,0.3866783754338307,0.8623758986648408,0.6606943064953976
20,ordinary,0.32032496077173284,0.8853646815274852,0.7183234884177506,0.38673666605227863,0.8675111263266004,0.7053437566846159
21,ordinary,0.3196200797515613,0.8829248456618979,0.7240881352661819,0.38188545702255494,0.8673399520712085,0.6653185986791835
22,ordinary,0.3120020545396887,0.8861409929392629,0.7301314824931068,0.4012772589054715,0.8591235878123931,0.6542526696199422
23,ordinary,0.3041023105555888,0.8893941074267125,0.7344018841958966,0.37499621361545077,0.8652858610065046,0.6875514830843803
24,ordinary,0.30146211352179897,0.890207386048575,0.7379256407004994,0.36984011751256224,0.8683669976035604,0.6971709185844341
25,ordinary,0.28972376308213416,0.8934974677461092,0.7403315848978107,0.361486228585284,0.8719616569667922,0.6989535783838134
