epoch,loss_mode,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1
1,class_balanced,1.7051141697906522,0.6611460258780038,0.13649629095799545,1.7626242385421538,0.6232454638822321,0.16905623204491033
2,class_balanced,1.5782820219121005,0.6546765249537893,0.167315921086951,1.6197721350482783,0.6610749743238616,0.1883888143719499
3,class_balanced,1.4826665534638213,0.6385951940850277,0.18527196304175506,1.7073951544968977,0.5106128038343033,0.17564718197149368
4,class_balanced,1.4258807465770107,0.6320887245841035,0.19919886977468956,1.5210475055006667,0.6573091407052379,0.24500826927914676
5,class_balanced,1.353208845820753,0.6440295748613678,0.21589180585781018,1.4646402806788428,0.6848681958233481,0.2614911936106297
6,class_balanced,1.3048507811533987,0.6531608133086876,0.23099722155705718,1.5568481621086006,0.6977062649777473,0.2530062053967507
7,class_balanced,1.2577515195257782,0.6581885397412199,0.24266693549506962,1.4238704544189489,0.640705237932215,0.2612789169109637
8,class_balanced,1.2418797062857976,0.6508317929759704,0.23626550248716305,1.60329564500859,0.4953782951044163,0.21505304025979755
9,class_balanced,1.2069419860839843,0.6582994454713493,0.24857972041970816,1.4367659966531823,0.6913728175282438,0.2807827936194664
10,class_balanced,1.1865969076835294,0.6558964879852126,0.25124646550307683,1.4299304595919187,0.7321122903115371,0.3133187969024389
11,class_balanced,1.1690557660809726,0.6618853974121996,0.25730468209299634,1.4410848893845012,0.7155083875385142,0.288796264998623
12,class_balanced,1.1047140539331488,0.67818853974122,0.2677420311548107,1.2723498593777347,0.7137966449845943,0.30296124507997857
13,class_balanced,1.1015242493879773,0.6819593345656192,0.26994744545998484,1.3772263684447437,0.7238959260527217,0.3199857842823981
14,class_balanced,1.082749220377416,0.6809611829944547,0.2777749604693392,1.4072561004887456,0.6436152002738789,0.2972489649380686
15,class_balanced,1.0319936440039474,0.6924214417744917,0.2882771086851705,1.324378576885956,0.78226634714139,0.341863557257984
16,class_balanced,1.0328069047522412,0.6934195933456562,0.2843319165557931,1.3617222679269432,0.6793906196508045,0.31991664593134644
17,class_balanced,1.0030460029212471,0.7005914972273567,0.2946086007357179,1.2796896744655935,0.6639849366655255,0.3132998844246466
18,class_balanced,0.9860223311637554,0.700184842883549,0.2942593479725461,1.5546984866807332,0.7324546388223211,0.3106979393065593
19,class_balanced,0.9646395085258977,0.7079482439926063,0.29146205345595644,1.2743298608895157,0.7124272509414584,0.3340774441643105
20,class_balanced,0.9156956535346407,0.7157855822550832,0.30354563370225623,1.5718320231860485,0.43991783635741183,0.2559686054815392
21,class_balanced,0.9405078293435455,0.7110536044362292,0.30495067920480623,1.3650067176201783,0.7456350564875043,0.344102847597901
22,class_balanced,0.8836706591974565,0.7171903881700554,0.313016156247501,1.2642873989846029,0.6282095172885998,0.33140392178309624
23,class_balanced,0.887765955523951,0.7127541589648798,0.3010071168849175,1.1685063661634412,0.7511126326600479,0.3549046999543413
24,class_balanced,0.8870180735790796,0.7198521256931608,0.30533943690624105,1.2565431847469484,0.7603560424512154,0.34936550308475933
25,class_balanced,0.8441265375072106,0.7197781885397412,0.31869406286022883,1.3002961831360556,0.7921944539541254,0.3549413142564975
26,class_balanced,0.8290511359480965,0.7291312384473198,0.3232514891012959,1.3160189055327234,0.6451557685724068,0.31847853421681915
27,class_balanced,0.8556963521715893,0.7195933456561923,0.3106136606375617,1.3188906081405987,0.750256761383088,0.35491388650682526
28,class_balanced,0.791690263743762,0.7337892791127542,0.32753157754407036,1.2227433273662487,0.764977747346799,0.3543216263094935
29,class_balanced,0.8119548016004333,0.7264695009242145,0.3208852481602658,1.3014448427329608,0.7579596028757275,0.3546335672433127
30,class_balanced,0.7740606385502489,0.7382994454713494,0.3584085605264126,1.434689052604478,0.6314618281410476,0.32621105162314545
31,class_balanced,0.7993373592018861,0.7331977818853974,0.3294593346576831,1.6050733078917752,0.484080794248545,0.3046999602643619
32,class_balanced,0.7655154545073588,0.7441035120147874,0.3372934916009942,1.305631356405012,0.7874015748031497,0.371629568244401
33,class_balanced,0.718231084941716,0.7492421441774492,0.3415729192122749,1.266088611579276,0.7718247175624786,0.3718234482926778
34,class_balanced,0.7243664475994498,0.7441035120147874,0.3807705952186473,1.2578447576827767,0.7478603218076001,0.3601959412685806
35,class_balanced,0.6901135906318199,0.752014787430684,0.3528543036135799,1.2939265312417163,0.812221841834988,0.3398517306290716
36,class_balanced,0.7110731170181867,0.7468022181146026,0.3801625625314036,1.436244672779676,0.6975350907223553,0.327401371237441
37,class_balanced,0.6849026134053793,0.7457301293900185,0.4232244847451773,1.373547823522565,0.7810681273536461,0.39337056754008337
38,class_balanced,0.6686187680878172,0.7568576709796673,0.4324721367178067,1.5034496819715881,0.7290311537144814,0.3623569733681473
39,class_balanced,0.6688132393316067,0.7527171903881701,0.4743876338942642,1.3769849224149344,0.5679561793906196,0.31557716971019856
40,class_balanced,0.6496320246900957,0.7582624768946395,0.39003170661611253,1.3065461268554768,0.7716535433070866,0.369944746898669
