method,accuracy,macro_f1,ece,nll,mean_corruption_sample_macro_f1,selected,evaluation_scope
original,0.8668965517241379,0.7263862051321655,0.022212028297884674,0.3926708996295929,0.5589398002116006,True,selection_view_only
augmented,0.8368965517241379,0.6285086147778278,0.050920677041185296,0.4719386100769043,0.634535088888784,False,selection_view_only
