epoch,loss_mode,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1
1,ordinary,0.6889541568509312,0.7746025878003697,0.13791450388413984,0.6750042115487044,0.7723382403286546,0.2734489461620948
2,ordinary,0.5365271113011401,0.8125693160813309,0.24001378878824006,0.532754963866471,0.8231769941800753,0.30682022320988633
3,ordinary,0.49063131048807157,0.8284288354898336,0.26959874089338415,0.44993457884024934,0.8377268058883944,0.30250648362937477
4,ordinary,0.4602385707174784,0.8372643253234751,0.28740665654124586,0.4158889971040916,0.8568983224922971,0.35108084200344264
5,ordinary,0.4446658155041129,0.8456931608133087,0.2982815595915634,0.46294647313396803,0.8343033207805546,0.35926330911476834
6,ordinary,0.4273952561010935,0.8491682070240296,0.3058292882344503,0.4040364832048219,0.8527901403628895,0.3457921906714564
7,ordinary,0.4159670266867125,0.8528280961182995,0.312577812642456,0.48529906470031414,0.8353303663129066,0.2968137643427827
8,ordinary,0.40688686967116405,0.8561182994454714,0.3158855132097974,0.41518780151276874,0.8534748373844574,0.3347324623857271
9,ordinary,0.39358625078597925,0.8612939001848429,0.32287881468396573,0.4128656630027747,0.8659705580280725,0.3832618924265321
10,ordinary,0.38958503111012543,0.8634750462107209,0.32544471308588124,0.37437372238913125,0.8723040054775761,0.3782468607692928
11,ordinary,0.3793828549028104,0.8646580406654344,0.32629762869732026,0.35975357255069756,0.8719616569667922,0.37309419267220484
12,ordinary,0.3711042811139013,0.8702772643253235,0.3325407236684909,0.3746876313272342,0.875385142074632,0.38872214957343115
13,ordinary,0.3663424087386034,0.8709796672828096,0.33398575817064663,0.35801377855445354,0.8707634371790482,0.3704833032372171
14,ordinary,0.3599673408170725,0.8737892791127542,0.3363670382484311,0.37089665122623516,0.8728175282437521,0.3870725882280492
15,ordinary,0.3566328607711686,0.8737892791127542,0.3372864545929472,0.4595586374919837,0.8411502909962342,0.34592569543881796
16,ordinary,0.3467260994664402,0.8771164510166358,0.34027257141202516,0.3516895068367482,0.8772680588839439,0.38573540088956537
17,ordinary,0.34133233059025514,0.8787430683918669,0.34313433341587696,0.34607206778240523,0.8841150290996234,0.3877226062923644
