epoch,train_loss,validation_loss,validation_accuracy,validation_macro_f1,lr
1,0.7225208633254757,0.6563444665382648,0.7327586206896551,0.3021275214340466,0.001
2,0.5766204301530757,0.7375024409129702,0.7103448275862069,0.4090885587385199,0.001
3,0.5328521769256813,0.5304017769057175,0.7986206896551724,0.5348944150970651,0.001
4,0.4945041613633265,0.5104712329239681,0.81,0.5337178836586376,0.001
5,0.4731961058848032,0.5299848267127728,0.7982758620689655,0.5046056719721648,0.001
6,0.4577157292179707,0.5043423870103113,0.8096551724137931,0.540103908349088,0.001
7,0.43409518545482395,0.4605130300028571,0.8355172413793104,0.6378672117140475,0.001
8,0.42344826028896193,0.5237366953389399,0.8113793103448276,0.6764714385932843,0.001
9,0.4087170221376699,0.48552131455520103,0.82,0.6309468215005918,0.001
10,0.3984002771830278,0.47759827120550746,0.8289655172413793,0.6415193178137621,0.001
11,0.387633629671232,0.5891456342565602,0.7893103448275862,0.5549090063894668,0.001
12,0.3532269118548383,0.40018431823829126,0.8586206896551725,0.6801146459876181,0.0005
13,0.3482106497359714,0.3955993622746961,0.8613793103448276,0.6798162129288675,0.0005
14,0.3365967369070556,0.4142026641862146,0.8524137931034482,0.6572862308055313,0.0005
15,0.3329354750572884,0.4058098090928176,0.8558620689655172,0.690559793688271,0.0005
16,0.33232519485907197,0.4317851629750482,0.8493103448275862,0.6733252435599649,0.0005
17,0.3222553354174076,0.4169336781830623,0.8568965517241379,0.6769828764854907,0.0005
18,0.3175673582402621,0.41882820515797053,0.8589655172413793,0.6274937281598972,0.0005
19,0.29783339456369917,0.3798898016173264,0.8693103448275862,0.6879206891747103,0.00025
20,0.29210116137356895,0.41012183094846794,0.8624137931034482,0.7258791037971306,0.00025
21,0.2868026666433277,0.37038077485972437,0.8724137931034482,0.7154862043467493,0.00025
22,0.28300919296150884,0.39175797108946175,0.8655172413793103,0.6933820162645383,0.00025
23,0.2795252727043659,0.42816664153131945,0.8489655172413794,0.6729151885196784,0.00025
24,0.26601236742669465,0.3661798303702782,0.8751724137931034,0.7208738679369839,0.000125
25,0.2640691578414655,0.37559930826055593,0.8744827586206897,0.697850230571162,0.000125
26,0.26377067339164284,0.3709749704393847,0.8744827586206897,0.726900290589498,0.000125
27,0.26110314173353105,0.372959841941965,0.8775862068965518,0.7273632822932072,0.000125
28,0.2573618098632372,0.37921928640069635,0.8768965517241379,0.7310269471266133,0.000125
29,0.2551291486161821,0.37459561750806614,0.8779310344827587,0.7095005173792792,0.000125
30,0.25448743662156925,0.36820602026479,0.8793103448275862,0.7337414930623243,0.000125
